event_id,vehicle_id,route_id,event_timestamp,latitude,longitude,speed_kmh
EVT00001,V001,R001,2026-09-21 06:00:00,13.677888,100.536953,30.4
EVT00002,V001,R001,2026-09-21 06:11:15,13.888454,100.625171,21.9
EVT00003,V001,R001,2026-09-21 06:22:30,13.775147,100.48573,51.1
EVT00004,V001,R001,2026-09-21 06:33:45,13.86763,100.509689,38.8
EVT00005,V001,R001,2026-09-21 06:45:00,13.802243,100.480568,44.3
EVT00006,V002,R001,2026-09-21 12:00:00,13.784845,100.605725,33.9
EVT00007,V002,R001,2026-09-21 12:11:15,13.650143,100.514831,10.9
EVT00008,V002,R001,2026-09-21 12:22:30,13.882275,100.625744,47.4
EVT00009,V002,R001,2026-09-21 12:33:45,13.726879,100.461585,49.5
EVT00010,V002,R001,2026-09-21 12:45:00,13.886737,100.467131,31.9
EVT00011,V001,R001,2026-09-21 17:00:00,13.667303,100.60212,44.5
EVT00012,V001,R001,2026-09-21 17:11:15,13.682098,100.545056,34.7
EVT00013,V001,R001,2026-09-21 17:22:30,13.716264,100.624487,29.0
EVT00014,V001,R001,2026-09-21 17:33:45,13.70295,100.557859,42.8
EVT00015,V001,R001,2026-09-21 17:45:00,13.700288,100.512343,54.8
EVT00016,V003,R002,2026-09-21 06:00:00,13.81247,100.53762,33.3
EVT00017,V003,R002,2026-09-21 06:11:15,13.680251,100.494939,25.2
EVT00018,V003,R002,2026-09-21 06:22:30,13.797077,100.496023,19.9
EVT00019,V003,R002,2026-09-21 06:33:45,13.667748,100.576221,20.3
EVT00020,V003,R002,2026-09-21 06:45:00,13.876355,100.621927,13.2
EVT00021,V004,R002,2026-09-21 12:00:00,13.709501,100.583796,19.6
EVT00022,V004,R002,2026-09-21 12:11:15,13.683078,100.637103,35.7
EVT00023,V004,R002,2026-09-21 12:22:30,13.768168,100.606924,46.3
EVT00024,V004,R002,2026-09-21 12:33:45,13.697602,100.469386,29.4
EVT00025,V004,R002,2026-09-21 12:45:00,13.755895,100.543405,42.8
EVT00026,V003,R002,2026-09-21 17:00:00,13.818341,100.646833,14.4
EVT00027,V003,R002,2026-09-21 17:11:15,13.750655,100.517861,48.8
EVT00028,V003,R002,2026-09-21 17:22:30,13.712164,100.488042,30.2
EVT00029,V003,R002,2026-09-21 17:33:45,13.75547,100.505709,21.2
EVT00030,V003,R002,2026-09-21 17:45:00,13.880816,100.538626,48.8
EVT00031,V005,R999,2026-09-21 06:00:00,13.787581,100.460118,55.0
EVT00032,V005,R003,2026-09-21 06:11:15,13.859007,100.643799,51.7
EVT00033,V005,R003,2026-09-21 06:22:30,13.862174,100.483262,31.9
EVT00034,V005,R003,2026-09-21 06:33:45,13.703437,100.530208,12.6
EVT00035,V005,R003,2026-09-21 06:45:00,13.744743,100.647062,21.9
EVT00036,V006,R003,2026-09-21 12:00:00,13.846018,100.541002,29.0
EVT00037,V006,R003,2026-09-21 12:11:15,13.889329,100.649085,35.0
EVT00038,V006,R003,2026-09-21 12:22:30,13.829602,100.480959,23.4
EVT00039,V006,R003,2026-09-21 12:33:45,13.892177,100.565836,34.4
EVT00040,V006,R003,2026-09-21 12:45:00,13.836994,100.461433,36.3
EVT00041,V005,R003,2026-09-21 17:00:00,13.775713,100.620544,17.1
EVT00042,V005,R003,2026-09-21 17:11:15,13.890195,100.466022,18.4
EVT00043,V005,R003,2026-09-21 17:22:30,13.798759,100.585043,20.6
EVT00044,V005,R003,2026-09-21 17:33:45,13.679972,100.628057,21.1
EVT00045,V005,R003,2026-09-21 17:45:00,13.79863,100.573876,28.9
EVT00046,V007,R004,2026-09-21 06:00:00,13.795918,100.554557,52.1
EVT00047,V007,R004,2026-09-21 06:11:15,13.701065,100.593238,20.7
EVT00048,V007,R004,2026-09-21 06:22:30,13.748946,100.584338,23.5
EVT00049,V007,R004,2026-09-21 06:33:45,13.729044,100.600373,13.3
EVT00050,V007,R004,2026-09-21 06:45:00,13.764571,100.649691,54.8
EVT00011,V001,R001,2026-09-21 17:00:00,13.667303,100.60212,44.5
EVT00051,V008,R004,2026-09-21 12:00:00,13.668315,100.492631,21.9
EVT00052,V008,R004,2026-09-21 12:11:15,13.883315,100.626173,49.6
EVT00053,V008,R004,2026-09-21 12:22:30,13.742382,100.481549,47.5
EVT00054,V008,R004,2026-09-21 12:33:45,13.825885,100.572336,54.4
EVT00055,V008,R004,2026-09-21 12:45:00,13.813494,100.451565,46.8
EVT00056,V007,R004,2026-09-21 17:00:00,13.724845,100.582678,52.3
EVT00057,V007,R004,2026-09-21 17:11:15,13.683573,100.473086,14.8
EVT00058,V007,R004,2026-09-21 17:22:30,13.788306,100.50447,37.2
EVT00059,V007,R004,2026-09-21 17:33:45,13.829403,100.490719,38.5
EVT00060,V007,R004,2026-09-21 17:45:00,13.715996,100.547706,50.7
EVT00061,V009,R005,2026-09-21 06:00:00,13.861526,100.46846,29.1
EVT00062,V009,R005,2026-09-21 06:11:15,13.71917,100.450709,44.7
EVT00063,V009,R005,2026-09-21 06:22:30,13.809278,100.502391,43.4
EVT00064,V009,R005,2026-09-21 06:33:45,13.78792,100.535537,10.4
EVT00065,V009,R005,2026-09-21 06:45:00,13.668811,100.626621,50.7
EVT00066,V010,R005,2026-09-21 12:00:00,13.786398,100.616919,36.2
EVT00067,V010,R005,2026-09-21 12:11:15,13.687023,100.475489,23.9
EVT00068,V010,R005,2026-09-21 12:22:30,13.874745,100.609224,48.7
EVT00069,V010,R005,2026-09-21 12:33:45,13.874731,100.492015,21.2
EVT00070,V010,R005,2026-09-21 12:45:00,13.675698,100.606023,49.8
EVT00071,V009,R005,2026-09-21 17:00:00,13.751594,100.574132,17.0
EVT00072,V009,R005,2026-09-21 17:11:15,13.88247,100.622921,53.9
EVT00073,V009,R005,2026-09-21 17:22:30,13.852693,100.626283,11.1
EVT00074,V009,R005,2026-09-21 17:33:45,13.834141,100.516437,51.9
EVT00075,V009,R005,2026-09-21 17:45:00,13.850559,100.622813,46.5
EVT00076,V011,R006,2026-09-21 06:00:00,13.716701,100.607475,14.9
EVT00077,V011,R006,2026-09-21 06:11:15,13.868042,100.621719,20.0
EVT00078,V011,R006,2026-09-21 06:22:30,13.854147,100.542061,23.7
EVT00079,V011,R006,2026-09-21 06:33:45,13.848836,100.495519,11.1
EVT00080,V011,R006,2026-09-21 06:45:00,13.698282,100.515652,48.9
EVT00081,V012,R006,2026-09-21 12:00:00,13.891722,100.505825,38.9
EVT00082,V012,R006,2026-09-21 12:11:15,13.74992,100.64623,34.1
EVT00083,V012,R006,2026-09-21 12:22:30,13.884809,100.473068,53.7
EVT00084,V012,R006,2026-09-21 12:33:45,13.694642,100.642507,21.9
EVT00085,V012,R006,2026-09-21 12:45:00,13.677101,100.536913,42.8
EVT00086,V011,R006,2026-09-21 17:00:00,13.728419,100.571242,33.0
EVT00087,V011,R006,2026-09-21 17:11:15,13.746299,100.565318,21.5
EVT00088,V011,R006,2026-09-21 17:22:30,13.827196,100.450338,51.7
EVT00089,V011,R006,2026-09-21 17:33:45,13.784613,100.593886,43.4
EVT00090,V011,R006,2026-09-21 17:45:00,13.817657,100.522844,13.1
EVT00091,V013,R007,2026-09-21 06:00:00,13.816059,100.51604,24.1
EVT00092,V013,R007,2026-09-21 06:11:15,13.862004,100.593951,23.5
EVT00093,V013,R007,2026-09-21 06:22:30,13.727321,100.531679,28.1
EVT00094,V013,R007,2026-09-21 06:33:45,13.723914,100.475458,28.9
EVT00095,V013,R007,2026-09-21 06:45:00,13.885091,100.585464,50.6
EVT00096,V014,R007,2026-09-21 12:00:00,13.803879,100.51019,34.7
EVT00097,V014,R007,2026-09-21 12:11:15,13.650101,100.507383,29.3
EVT00098,V014,R007,2026-09-21 12:22:30,13.794996,100.580941,30.9
EVT00099,V014,R007,2026-09-21 12:33:45,13.76054,100.49274,31.3
EVT00100,V014,R007,2026-09-21 12:45:00,13.875295,100.609205,17.6
EVT00101,V013,R007,2026-09-21 17:00:00,13.671199,100.55309,38.5
EVT00102,V013,R007,2026-09-21 17:11:15,13.733797,100.613685,43.8
EVT00103,V013,R007,2026-09-21 17:22:30,13.818199,100.494928,19.0
EVT00104,V013,R007,2026-09-21 17:33:45,13.656106,100.498969,31.4
EVT00105,V013,R007,2026-09-21 17:45:00,13.862434,100.464566,28.6
EVT00106,V015,R008,2026-09-21 06:00:00,13.807441,100.488887,41.3
EVT00107,V015,R008,2026-09-21 06:11:15,13.773594,100.498797,39.5
EVT00108,V015,R008,2026-09-21 06:22:30,13.651386,100.600193,44.7
EVT00109,V015,R008,2026-09-21 06:33:45,13.676647,100.535029,17.9
EVT00110,V015,R008,2026-09-21 06:45:00,13.889492,100.553592,12.3
EVT00111,V016,R008,2026-09-21 12:00:00,13.7123,100.619667,30.5
EVT00112,V016,R008,2026-09-21 12:11:15,13.850354,100.583516,54.5
EVT00113,V016,R008,2026-09-21 12:22:30,13.798863,100.640008,50.1
EVT00114,V016,R008,2026-09-21 12:33:45,13.803163,100.593855,32.7
EVT00115,V016,R008,2026-09-21 12:45:00,13.857642,100.559574,50.4
EVT00116,V015,R008,2026-09-21 17:00:00,13.835914,100.544935,21.7
EVT00117,V015,R008,2026-09-21 17:11:15,13.71181,100.577532,44.5
EVT00118,V015,R008,2026-09-21 17:22:30,13.780325,100.57535,22.4
EVT00119,V015,R008,2026-09-21 17:33:45,13.669371,100.507146,22.2
EVT00120,V015,R008,2026-09-21 17:45:00,13.729927,100.55803,16.2
