trip_id,route_id,vehicle_id,service_date,scheduled_departure,scheduled_arrival
T-R001-01,R001,V001,2026-09-21,2026-09-21 06:00:00,2026-09-21 06:45:00
T-R001-02,R001,V002,2026-09-21,2026-09-21 12:00:00,2026-09-21 12:45:00
T-R001-03,R001,V001,2026-09-21,2026-09-21 17:00:00,2026-09-21 17:45:00
T-R002-01,R002,V003,2026-09-21,2026-09-21 06:00:00,2026-09-21 06:45:00
T-R002-02,R002,V004,2026-09-21,2026-09-21 12:00:00,2026-09-21 12:45:00
T-R002-03,R002,V003,2026-09-21,2026-09-21 17:00:00,2026-09-21 17:45:00
T-R003-01,R003,V005,2026-09-21,2026-09-21 06:00:00,2026-09-21 06:45:00
T-R003-02,R003,V006,2026-09-21,2026-09-21 12:00:00,2026-09-21 12:45:00
T-R003-03,R003,V005,2026-09-21,2026-09-21 17:00:00,2026-09-21 17:45:00
T-R004-01,R004,V007,2026-09-21,2026-09-21 06:00:00,2026-09-21 06:45:00
T-R004-02,R004,V008,2026-09-21,2026-09-21 12:00:00,2026-09-21 12:45:00
T-R004-03,R004,V007,2026-09-21,2026-09-21 17:00:00,2026-09-21 17:45:00
T-R005-01,R005,V009,2026-09-21,2026-09-21 06:00:00,2026-09-21 06:45:00
T-R005-02,R005,V010,2026-09-21,2026-09-21 12:00:00,2026-09-21 12:45:00
T-R005-03,R005,V009,2026-09-21,2026-09-21 17:00:00,2026-09-21 17:45:00
T-R006-01,R006,V011,2026-09-21,2026-09-21 06:00:00,2026-09-21 06:45:00
T-R006-02,R006,V012,2026-09-21,2026-09-21 12:00:00,2026-09-21 12:45:00
T-R006-03,R006,V011,2026-09-21,2026-09-21 17:00:00,2026-09-21 17:45:00
T-R007-01,R007,V013,2026-09-21,2026-09-21 06:00:00,2026-09-21 06:45:00
T-R007-02,R007,V014,2026-09-21,2026-09-21 12:00:00,2026-09-21 12:45:00
T-R007-03,R007,V013,2026-09-21,2026-09-21 17:00:00,2026-09-21 17:45:00
T-R008-01,R008,V015,2026-09-21,2026-09-21 06:00:00,2026-09-21 06:45:00
T-R008-02,R008,V016,2026-09-21,2026-09-21 12:00:00,2026-09-21 12:45:00
T-R008-03,R008,V015,2026-09-21,2026-09-21 17:00:00,2026-09-21 17:45:00
