stop_id,stop_name,route_id,sequence,latitude,longitude
S001,Mo Chit Stop 1,R001,1,13.809857,100.455002
S002,Mo Chit Stop 2,R001,2,13.718757,100.494642
S003,Mo Chit Stop 3,R001,3,13.834118,100.58534
S004,Victory Monument Stop 1,R002,1,13.873045,100.467388
S005,Victory Monument Stop 2,R002,2,13.75548,100.455959
S006,Victory Monument Stop 3,R002,3,13.704659,100.551071
S007,Siam Stop 1,R003,1,13.656634,100.489768
S008,Siam Stop 2,R003,2,13.812471,100.558988
S009,Siam Stop 3,R003,3,13.70511,100.567853
S010,Hua Lamphong Stop 1,R004,1,13.852358,100.4513
S011,Hua Lamphong Stop 2,R004,2,13.851455,100.589628
S012,Hua Lamphong Stop 3,R004,3,13.735063,100.481096
S013,Ratchada Stop 1,R005,1,13.889303,100.517319
S014,Ratchada Stop 2,R005,2,13.673186,100.469343
S015,Ratchada Stop 3,R005,3,13.861874,100.570745
S016,Ekkamai Stop 1,R006,1,13.851782,100.595946
S017,Ekkamai Stop 2,R006,2,13.784057,100.644623
S018,Ekkamai Stop 3,R006,3,13.744634,100.560408
S019,Chatuchak Stop 1,R007,1,13.857351,100.573704
S020,Chatuchak Stop 2,R007,2,13.865427,100.56547
S021,Chatuchak Stop 3,R007,3,13.826143,100.459165
S022,Asok Stop 1,R008,1,13.706975,100.507878
S023,Asok Stop 2,R008,2,13.669948,100.496558
S024,Asok Stop 3,R008,3,13.67525,100.505595
